 ENC
 ENC bytes 0
 14:   SWcycles : 382515   HWcycles : 1952
 15:   SWcycles : 382515   HWcycles : 1952
 16:   SWcycles : 382515   HWcycles : 1952
 17:   SWcycles : 382515   HWcycles : 1952
 18:   SWcycles : 382515   HWcycles : 1952
 19:   SWcycles : 382515   HWcycles : 1952
 20:   SWcycles : 382515   HWcycles : 1952
 21:   SWcycles : 382515   HWcycles : 1952
 22:   SWcycles : 382515   HWcycles : 1952
 23:   SWcycles : 382515   HWcycles : 1952
 24:   SWcycles : 382515   HWcycles : 1952
 25:   SWcycles : 382515   HWcycles : 1952
 26:   SWcycles : 382515   HWcycles : 1952
 27:   SWcycles : 382515   HWcycles : 1952
 28:   SWcycles : 382515   HWcycles : 1952
 29:   SWcycles : 382515   HWcycles : 1952
 ENC bytes 5000
 0:   SWcycles : 1865030   HWcycles : 8954
 1:   SWcycles : 1865018   HWcycles : 8952
 2:   SWcycles : 1865015   HWcycles : 8952
 3:   SWcycles : 1865015   HWcycles : 8956
 4:   SWcycles : 1865015   HWcycles : 8952
 5:   SWcycles : 1865015   HWcycles : 8952
 6:   SWcycles : 1865015   HWcycles : 8952
 7:   SWcycles : 1865015   HWcycles : 8952
 8:   SWcycles : 1865015   HWcycles : 8952
 9:   SWcycles : 1865015   HWcycles : 8952
 10:   SWcycles : 1865015   HWcycles : 8952
 11:   SWcycles : 1865015   HWcycles : 8952
 12:   SWcycles : 1865015   HWcycles : 8952
 13:   SWcycles : 1865015   HWcycles : 8952
 14:   SWcycles : 1865015   HWcycles : 8952
 15:   SWcycles : 1865015   HWcycles : 8952
 16:   SWcycles : 1865015   HWcycles : 8952
 17:   SWcycles : 1865015   HWcycles : 8952
 18:   SWcycles : 1865015   HWcycles : 8952
 19:   SWcycles : 1865015   HWcycles : 8952
 20:   SWcycles : 1865015   HWcycles : 8952
 21:   SWcycles : 1865015   HWcycles : 8952
 22:   SWcycles : 1865015   HWcycles : 8952
 23:   SWcycles : 1865015   HWcycles : 8952
 24:   SWcycles : 1865015   HWcycles : 8952
 25:   SWcycles : 1865015   HWcycles : 8952
 26:   SWcycles : 1865015   HWcycles : 8952
 27:   SWcycles : 1865015   HWcycles : 8952
 28:   SWcycles : 1865015   HWcycles : 8952
 29:   SWcycles : 1865015   HWcycles : 8952
 ENC bytes 10000
 0:   SWcycles : 3718155   HWcycles : 17704
 1:   SWcycles : 3718144   HWcycles : 17702
 2:   SWcycles : 3718140   HWcycles : 17702
 3:   SWcycles : 3718140   HWcycles : 17706
 4:   SWcycles : 3718140   HWcycles : 17702
 5:   SWcycles : 3718140   HWcycles : 17702
 6:   SWcycles : 3718140   HWcycles : 17702
 7:   SWcycles : 3718140   HWcycles : 17702
 8:   SWcycles : 3718140   HWcycles : 17702
 9:   SWcycles : 3718140   HWcycles : 17702
 10:   SWcycles : 3718140   HWcycles : 17702
 11:   SWcycles : 3718140   HWcycles : 17702
 12:   SWcycles : 3718140   HWcycles : 17702
 13:   SWcycles : 3718140   HWcycles : 17702
 14:   SWcycles : 3718140   HWcycles : 17702
 15:   SWcycles : 3718140   HWcycles : 17702
 16:   SWcycles : 3718140   HWcycles : 17702
 17:   SWcycles : 3718140   HWcycles : 17702
 18:   SWcycles : 3718140   HWcycles : 17702
 19:   SWcycles : 3718140   HWcycles : 17702
 20:   SWcycles : 3718140   HWcycles : 17702
 21:   SWcycles : 3718140   HWcycles : 17702
 22:   SWcycles : 3718140   HWcycles : 17702
 23:   SWcycles : 3718140   HWcycles : 17702
 24:   SWcycles : 3718140   HWcycles : 17702
 25:   SWcycles : 3718140   HWcycles : 17702
 26:   SWcycles : 3718140   HWcycles : 17702
 27:   SWcycles : 3718140   HWcycles : 17702
 28:   SWcycles : 3718140   HWcycles : 17702
 29:   SWcycles : 3718140   HWcycles : 17702
 ENC 100 A
 ENC 100 A bytes 0
 0:   SWcycles : 16494   HWcycles : 200
 1:   SWcycles : 11894   HWcycles : 200
 2:   SWcycles : 11885   HWcycles : 200
 3:   SWcycles : 11885   HWcycles : 197
 4:   SWcycles : 11885   HWcycles : 200
 5:   SWcycles : 11885   HWcycles : 197
 6:   SWcycles : 11885   HWcycles : 197
 7:   SWcycles : 11885   HWcycles : 197
 8:   SWcycles : 11885   HWcycles : 197
 9:   SWcycles : 11885   HWcycles : 197
 10:   SWcycles : 11885   HWcycles : 197
 11:   SWcycles : 11885   HWcycles : 197
 12:   SWcycles : 11885   HWcycles : 197
 13:   SWcycles : 11885   HWcycles : 197
 14:   SWcycles : 11885   HWcycles : 197
 15:   SWcycles : 11885   HWcycles : 197
 16:   SWcycles : 11885   HWcycles : 197
 17:   SWcycles : 11885   HWcycles : 197
 18:   SWcycles : 11885   HWcycles : 197
 19:   SWcycles : 11885   HWcycles : 197
 20:   SWcycles : 11885   HWcycles : 197
 21:   SWcycles : 11885   HWcycles : 197
 22:   SWcycles : 11885   HWcycles : 197
 23:   SWcycles : 11885   HWcycles : 197
 24:   SWcycles : 11885   HWcycles : 197
 25:   SWcycles : 11885   HWcycles : 197
 26:   SWcycles : 11885   HWcycles : 197
 27:   SWcycles : 11885   HWcycles : 197
 28:   SWcycles : 11885   HWcycles : 197
 29:   SWcycles : 11885   HWcycles : 197
 ENC 100 A bytes 8
 0:   SWcycles : 35327   HWcycles : 218
 1:   SWcycles : 17793   HWcycles : 218
 2:   SWcycles : 17787   HWcycles : 218
 3:   SWcycles : 17787   HWcycles : 215
 4:   SWcycles : 17787   HWcycles : 218
 5:   SWcycles : 17787   HWcycles : 218
 6:   SWcycles : 17787   HWcycles : 218
 7:   SWcycles : 17787   HWcycles : 218
 8:   SWcycles : 17787   HWcycles : 218
 9:   SWcycles : 17787   HWcycles : 218
 10:   SWcycles : 17787   HWcycles : 218
 11:   SWcycles : 17787   HWcycles : 218
 12:   SWcycles : 17787   HWcycles : 218
 13:   SWcycles : 17787   HWcycles : 218
 14:   SWcycles : 17787   HWcycles : 218
 15:   SWcycles : 17787   HWcycles : 218
 16:   SWcycles : 17787   HWcycles : 218
 17:   SWcycles : 17787   HWcycles : 218
 18:   SWcycles : 17787   HWcycles : 218
 19:   SWcycles : 17787   HWcycles : 218
 20:   SWcycles : 17787   HWcycles : 218
 21:   SWcycles : 17787   HWcycles : 218
 22:   SWcycles : 17787   HWcycles : 218
 23:   SWcycles : 17787   HWcycles : 218
 24:   SWcycles : 17787   HWcycles : 218
 25:   SWcycles : 17787   HWcycles : 218
 26:   SWcycles : 17787   HWcycles : 218
 27:   SWcycles : 17787   HWcycles : 218
 28:   SWcycles : 17787   HWcycles : 218
 29:   SWcycles : 17787   HWcycles : 218
 ENC 100 A bytes 96
 0:   SWcycles : 50249   HWcycles : 350
 1:   SWcycles : 50257   HWcycles : 350
 2:   SWcycles : 50235   HWcycles : 350
 3:   SWcycles : 50232   HWcycles : 347
 4:   SWcycles : 50232   HWcycles : 350
