 ENC
 ENC bytes 0
 0:   SWcycles : 169450   HWcycles : 17996
 1:   SWcycles : 11905   HWcycles : 210
 2:   SWcycles : 11900   HWcycles : 206
 3:   SWcycles : 11885   HWcycles : 206
 4:   SWcycles : 11885   HWcycles : 206
 5:   SWcycles : 11885   HWcycles : 206
 6:   SWcycles : 11885   HWcycles : 206
 7:   SWcycles : 11885   HWcycles : 206
 8:   SWcycles : 11885   HWcycles : 206
 9:   SWcycles : 11885   HWcycles : 206
 10:   SWcycles : 11885   HWcycles : 206
 11:   SWcycles : 11885   HWcycles : 206
 12:   SWcycles : 11885   HWcycles : 206
 13:   SWcycles : 11885   HWcycles : 206
 14:   SWcycles : 11885   HWcycles : 206
 15:   SWcycles : 11885   HWcycles : 206
 16:   SWcycles : 11885   HWcycles : 206
 17:   SWcycles : 11885   HWcycles : 206
 18:   SWcycles : 11885   HWcycles : 206
 19:   SWcycles : 11885   HWcycles : 206
 20:   SWcycles : 11885   HWcycles : 206
 21:   SWcycles : 11885   HWcycles : 206
 22:   SWcycles : 11885   HWcycles : 206
 23:   SWcycles : 11885   HWcycles : 206
 24:   SWcycles : 11885   HWcycles : 206
 25:   SWcycles : 11885   HWcycles : 206
 26:   SWcycles : 11885   HWcycles : 206
 27:   SWcycles : 11885   HWcycles : 206
 28:   SWcycles : 11885   HWcycles : 206
 29:   SWcycles : 11885   HWcycles : 206
 ENC bytes 8
 0:   SWcycles : 19451   HWcycles : 222
 1:   SWcycles : 14864   HWcycles : 224
 2:   SWcycles : 14849   HWcycles : 224
 3:   SWcycles : 14849   HWcycles : 220
 4:   SWcycles : 14849   HWcycles : 224
 5:   SWcycles : 14849   HWcycles : 224
 6:   SWcycles : 14849   HWcycles : 224
 7:   SWcycles : 14849   HWcycles : 224
 8:   SWcycles : 14849   HWcycles : 224
 9:   SWcycles : 14849   HWcycles : 224
 10:   SWcycles : 14849   HWcycles : 224
 11:   SWcycles : 14849   HWcycles : 224
 12:   SWcycles : 14849   HWcycles : 224
 13:   SWcycles : 14849   HWcycles : 224
 14:   SWcycles : 14849   HWcycles : 224
 15:   SWcycles : 14849   HWcycles : 224
 16:   SWcycles : 14849   HWcycles : 224
 17:   SWcycles : 14849   HWcycles : 224
 18:   SWcycles : 14849   HWcycles : 224
 19:   SWcycles : 14849   HWcycles : 224
 20:   SWcycles : 14849   HWcycles : 224
 21:   SWcycles : 14849   HWcycles : 224
 22:   SWcycles : 14849   HWcycles : 224
 23:   SWcycles : 14849   HWcycles : 224
 24:   SWcycles : 14849   HWcycles : 224
 25:   SWcycles : 14849   HWcycles : 224
 26:   SWcycles : 14849   HWcycles : 224
 27:   SWcycles : 14849   HWcycles : 224
 28:   SWcycles : 14849   HWcycles : 224
 29:   SWcycles : 14849   HWcycles : 224
 ENC bytes 96
 0:   SWcycles : 47487   HWcycles : 376
 1:   SWcycles : 47474   HWcycles : 374
 2:   SWcycles : 47470   HWcycles : 374
 3:   SWcycles : 47470   HWcycles : 378
 4:   SWcycles : 47470   HWcycles : 374
 5:   SWcycles : 47470   HWcycles : 374
 6:   SWcycles : 47470   HWcycles : 374
 7:   SWcycles : 47470   HWcycles : 374
 8:   SWcycles : 47470   HWcycles : 374
 9:   SWcycles : 47470   HWcycles : 374
 10:   SWcycles : 47470   HWcycles : 374
 11:   SWcycles : 47470   HWcycles : 374
 12:   SWcycles : 47470   HWcycles : 374
 13:   SWcycles : 47470   HWcycles : 374
 14:   SWcycles : 47470   HWcycles : 374
 15:   SWcycles : 47470   HWcycles : 374
 16:   SWcycles : 47470   HWcycles : 374
 17:   SWcycles : 47470   HWcycles : 374
 18:   SWcycles : 47470   HWcycles : 374
 19:   SWcycles : 47470   HWcycles : 374
 20:   SWcycles : 47470   HWcycles : 374
 21:   SWcycles : 47470   HWcycles : 374
 22:   SWcycles : 47470   HWcycles : 374
 23:   SWcycles : 47470   HWcycles : 374
 24:   SWcycles : 47470   HWcycles : 374
 25:   SWcycles : 47470   HWcycles : 374
 26:   SWcycles : 47470   HWcycles : 374
 27:   SWcycles : 47470   HWcycles : 374
 28:   SWcycles : 47470   HWcycles : 374
 29:   SWcycles : 47470   HWcycles : 374
 ENC bytes 496
 0:   SWcycles : 195732   HWcycles : 1076
 1:   SWcycles : 195724   HWcycles : 1074
 2:   SWcycles : 195720   HWcycles : 1074
 3:   SWcycles : 195720   HWcycles : 1078
 4:   SWcycles : 195720   HWcycles : 1074
 5:   SWcycles : 195720   HWcycles : 1074
 6:   SWcycles : 195720   HWcycles : 1074
 7:   SWcycles : 195720   HWcycles : 1074
 8:   SWcycles : 195720   HWcycles : 1074
 9:   SWcycles : 195720   HWcycles : 1074
 10:   SWcycles : 195720   HWcycles : 1074
 11:   SWcycles : 195720   HWcycles : 1074
 12:   SWcycles : 195720   HWcycles : 1074
 13:   SWcycles : 195720   HWcycles : 1074
 14:   SWcycles : 195720   HWcycles : 1074
 15:   SWcycles : 195720   HWcycles : 1074
 16:   SWcycles : 195720   HWcycles : 1074
 17:   SWcycles : 195720   HWcycles : 1074
 18:   SWcycles : 195720   HWcycles : 1074
 19:   SWcycles : 195720   HWcycles : 1074
 20:   SWcycles : 195720   HWcycles : 1074
 21:   SWcycles : 195720   HWcycles : 1074
 22:   SWcycles : 195720   HWcycles : 1074
 23:   SWcycles : 195720   HWcycles : 1074
 24:   SWcycles : 195720   HWcycles : 1074
 25:   SWcycles : 195720   HWcycles : 1074
 26:   SWcycles : 195720   HWcycles : 1074
 27:   SWcycles : 195720   HWcycles : 1074
 28:   SWcycles : 195720   HWcycles : 1074
 29:   SWcycles : 195720   HWcycles : 1074
 ENC bytes 1000
 0:   SWcycles : 382530   HWcycles : 1958
 1:   SWcycles : 382519   HWcycles : 1956
 2:   SWcycles : 382515   HWcycles : 1956
 3:   SWcycles : 382515   HWcycles : 1960
 4:   SWcycles : 382515   HWcycles : 1956
 5:   SWcycles : 382515   HWcycles : 1956
 6:   SWcycles : 382515   HWcycles : 1956
 7:   SWcycles : 382515   HWcycles : 1956
 8:   SWcycles : 382515   HWcycles : 1956
 9:   SWcycles : 382515   HWcycles : 1956
 10:   SWcycles : 382515   HWcycles : 1956
 11:   SWcycles : 382515   HWcycles : 1956
 12:   SWcycles : 382515   HWcycles : 1956
 13:   SWcycles : 382515   HWcycles : 1956
 14:   SWcycles : 382515   HWcycles : 1956
 15:   SWcycles : 382515   HWcycles : 1956
 16:   SWcycles : 382515   HWcycles : 1956
 17:   SWcycles : 382515   HWcycles : 1956
 18:   SWcycles : 382515   HWcycles : 1956
 19:   SWcycles : 382515   HWcycles : 1956
 20:   SWcycles : 382515   HWcycles : 1956
 21:   SWcycles : 382515   HWcycles : 1956
 22:   SWcycles : 382515   HWcycles : 1956
 23:   SWcycles : 382515   HWcycles : 1956
 24:   SWcycles : 382515   HWcycles : 1956
 25:   SWcycles : 382515   HWcycles : 1956
 26:   SWcycles : 382515   HWcycles : 1956
 27:   SWcycles : 382515   HWcycles : 1956
 28:   SWcycles : 382515   HWcycles : 1956
 29:   SWcycles : 382515   HWcycles : 1956
 ENC bytes 5000
 0:   SWcycles : 1865030   HWcycles : 8958
 1:   SWcycles : 1865018   HWcycles : 8956
 2:   SWcycles : 1865015   HWcycles : 8956
 3:   SWcycles : 1865015   HWcycles : 8960
 4:   SWcycles : 1865015   HWcycles : 8956
 5:   SWcycles : 1865015   HWcycles : 8956
 6:   SWcycles : 1865015   HWcycles : 8956
 7:   SWcycles : 1865015   HWcycles : 8956
 8:   SWcycles : 1865015   HWcycles : 8956
 9:   SWcycles : 1865015   HWcycles : 8956
 10:   SWcycles : 1865015   HWcycles : 8956
 11:   SWcycles : 1865015   HWcycles : 8956
 12:   SWcycles : 1865015   HWcycles : 8956
 13:   SWcycles : 1865015   HWcycles : 8956
 14:   SWcycles : 1865015   HWcycles : 8956
 15:   SWcycles : 1865015   HWcycles : 8956
 16:   SWcycles : 1865015   HWcycles : 8956
 17:   SWcycles : 1865015   HWcycles : 8956
 18:   SWcycles : 1865015   HWcycles : 8956
 19:   SWcycles : 1865015   HWcycles : 8956
 20:   SWcycles : 1865015   HWcycles : 8956
 21:   SWcycles : 1865015   HWcycles : 8956
 22:   SWcycles : 1865015   HWcycles : 8956
 23:   SWcycles : 1865015   HWcycles : 8956
 24:   SWcycles : 1865015   HWcycles : 8956
 25:   SWcycles : 1865015   HWcycles : 8956
 26:   SWcycles : 1865015   HWcycles : 8956
 27:   SWcycles : 1865015   HWcycles : 8956
 28:   SWcycles : 1865015   HWcycles : 8956
 29:   SWcycles : 1865015   HWcycles : 8956
 ENC bytes 10000
 0:   SWcycles : 3718155   HWcycles : 17708
 1:   SWcycles : 3718144   HWcycles : 17706
 2:   SWcycles : 3718140   HWcycles : 17706
 3:   SWcycles : 3718140   HWcycles : 17710
 4:   SWcycles : 3718140   HWcycles : 17706
 5:   SWcycles : 3718140   HWcycles : 17706
 6:   SWcycles : 3718140   HWcycles : 17706
 7:   SWcycles : 3718140   HWcycles : 17706
 8:   SWcycles : 3718140   HWcycles : 17706
 9:   SWcycles : 3718140   HWcycles : 17706
 10:   SWcycles : 3718140   HWcycles : 17706
 11:   SWcycles : 3718140   HWcycles : 17706
 12:   SWcycles : 3718140   HWcycles : 17706
 13:   SWcycles : 3718140   HWcycles : 17706
 14:   SWcycles : 3718140   HWcycles : 17706
 15:   SWcycles : 3718140   HWcycles : 17706
 16:   SWcycles : 3718140   HWcycles : 17706
 17:   SWcycles : 3718140   HWcycles : 17706
 18:   SWcycles : 3718140   HWcycles : 17706
