ENC 
ENC bytes 0 
20:   SWcycles : 383289   HWcycles : 2218
21:   SWcycles : 383289   HWcycles : 2218
22:   SWcycles : 383289   HWcycles : 2218
23:   SWcycles : 383289   HWcycles : 2218
24:   SWcycles : 383289   HWcycles : 2218
25:   SWcycles : 383289   HWcycles : 2218
26:   SWcycles : 383289   HWcycles : 2218
27:   SWcycles : 383289   HWcycles : 2218
28:   SWcycles : 383289   HWcycles : 2218
29:   SWcycles : 383289   HWcycles : 2218
ENC bytes 5000 
0:   SWcycles : 1868804   HWcycles : 10220
1:   SWcycles : 1868792   HWcycles : 10218
2:   SWcycles : 1868789   HWcycles : 10218
3:   SWcycles : 1868789   HWcycles : 10222
4:   SWcycles : 1868789   HWcycles : 10218
5:   SWcycles : 1868789   HWcycles : 10218
6:   SWcycles : 1868789   HWcycles : 10218
7:   SWcycles : 1868789   HWcycles : 10218
8:   SWcycles : 1868789   HWcycles : 10218
9:   SWcycles : 1868789   HWcycles : 10218
10:   SWcycles : 1868789   HWcycles : 10218
11:   SWcycles : 1868789   HWcycles : 10218
12:   SWcycles : 1868789   HWcycles : 10218
13:   SWcycles : 1868789   HWcycles : 10218
14:   SWcycles : 1868789   HWcycles : 10218
15:   SWcycles : 1868789   HWcycles : 10218
16:   SWcycles : 1868789   HWcycles : 10218
17:   SWcycles : 1868789   HWcycles : 10218
18:   SWcycles : 1868789   HWcycles : 10218
19:   SWcycles : 1868789   HWcycles : 10218
20:   SWcycles : 1868789   HWcycles : 10218
21:   SWcycles : 1868789   HWcycles : 10218
22:   SWcycles : 1868789   HWcycles : 10218
23:   SWcycles : 1868789   HWcycles : 10218
24:   SWcycles : 1868789   HWcycles : 10218
25:   SWcycles : 1868789   HWcycles : 10218
26:   SWcycles : 1868789   HWcycles : 10218
27:   SWcycles : 1868789   HWcycles : 10218
28:   SWcycles : 1868789   HWcycles : 10218
29:   SWcycles : 1868789   HWcycles : 10218
ENC bytes 10000 
0:   SWcycles : 3725676   HWcycles : 20220
1:   SWcycles : 3725669   HWcycles : 20218
2:   SWcycles : 3725665   HWcycles : 20218
3:   SWcycles : 3725665   HWcycles : 20222
4:   SWcycles : 3725665   HWcycles : 20218
5:   SWcycles : 3725665   HWcycles : 20218
6:   SWcycles : 3725665   HWcycles : 20218
7:   SWcycles : 3725665   HWcycles : 20218
8:   SWcycles : 3725665   HWcycles : 20218
9:   SWcycles : 3725665   HWcycles : 20218
10:   SWcycles : 3725665   HWcycles : 20218
11:   SWcycles : 3725665   HWcycles : 20218
12:   SWcycles : 3725665   HWcycles : 20218
13:   SWcycles : 3725665   HWcycles : 20218
14:   SWcycles : 3725665   HWcycles : 20218
15:   SWcycles : 3725665   HWcycles : 20218
16:   SWcycles : 3725665   HWcycles : 20218
17:   SWcycles : 3725665   HWcycles : 20218
18:   SWcycles : 3725665   HWcycles : 20218
19:   SWcycles : 3725665   HWcycles : 20218
20:   SWcycles : 3725665   HWcycles : 20218
21:   SWcycles : 3725665   HWcycles : 20218
22:   SWcycles : 3725665   HWcycles : 20218
23:   SWcycles : 3725665   HWcycles : 20218
24:   SWcycles : 3725665   HWcycles : 20218
25:   SWcycles : 3725665   HWcycles : 20218
26:   SWcycles : 3725665   HWcycles : 20218
27:   SWcycles : 3725665   HWcycles : 20218
28:   SWcycles : 3725665   HWcycles : 20218
29:   SWcycles : 3725665   HWcycles : 20218
ENC 100 A
ENC 100 A bytes 0 
0:   SWcycles : 16515   HWcycles : 216
1:   SWcycles : 11915   HWcycles : 216
2:   SWcycles : 11909   HWcycles : 216
3:   SWcycles : 11909   HWcycles : 213
4:   SWcycles : 11909   HWcycles : 216
